"year","country","Biofuel Production - Daily Average","Biofuel Production - Oil Equivalent","Carbon Dioxide (CO2) Emmissions","Coal Consumption - Oil Equivalent","Coal Production","Coal Production - Oil Equivalent","Electricity Generation","Geothermal and Biomass Power Consumption","Geothermal and Biomass Power Consumption - Oil Equivalent","Geothermal Power Capacity","Hydroelectric Consumption","Hydroelectric Consumption - Oil Equivalent","Natural Gas Consumption","Natural Gas Consumption - Daily Average","Natural Gas Consumption - Oil Equivalent","Natural Gas Production","Natural Gas Production - Daily Average","Natural Gas Production - Oil Equivalent","Nuclear Power Consumption","Nuclear Power Consumption - Oil Equivalent","Oil Consumption","Oil Consumption - Daily Average","Oil Production","Oil Production - Daily Average","Oil Refinery Capacity","Oil Refinery Throughputs","Primary Energy Consumption - Oil Equivalent","Proved Natural Gas Reserves","Proved Oil Reserves","Solar Power Capacity","Solar Power Consumption","Solar Power Consumption - Oil Equivalent","Wind Power Capacity","Wind Power Consumption","Wind Power Consumption - Oil Equivalent"
1965,"Algeria",NA,NA,5.87,0.07,NA,NA,NA,0,0,NA,0.39,0.09,0.77,0.07,0.7,NA,NA,NA,0,0,1.29,26.79,26.48,577.38,NA,NA,2.14,NA,NA,NA,0,0,NA,0,0
1966,"Algeria",NA,NA,7.16,0.07,NA,NA,NA,0,0,NA,0.36,0.08,0.8,0.08,0.72,NA,NA,NA,0,0,1.69,35.47,33.87,738.59,NA,NA,2.56,NA,NA,NA,0,0,NA,0,0
1967,"Algeria",NA,NA,6.69,0.05,NA,NA,NA,0,0,NA,0.41,0.09,0.78,0.08,0.7,NA,NA,NA,0,0,1.58,33.43,39.08,852.03,NA,NA,2.42,NA,NA,NA,0,0,NA,0,0
1968,"Algeria",NA,NA,7.11,0.06,NA,NA,NA,0,0,NA,0.56,0.13,0.82,0.08,0.74,NA,NA,NA,0,0,1.68,35.51,42.9,932.91,NA,NA,2.6,NA,NA,NA,0,0,NA,0,0
1969,"Algeria",NA,NA,8,0.07,NA,NA,NA,0,0,NA,0.36,0.08,1.08,0.1,0.97,NA,NA,NA,0,0,1.77,37.83,44.78,976.91,NA,NA,2.9,NA,NA,NA,0,0,NA,0,0
1970,"Algeria",NA,NA,8.7,0.08,NA,NA,NA,0,0,NA,0.58,0.13,1.01,0.1,0.91,2.53,0.25,2.28,0,0,2.03,43.13,48.21,1051.63,NA,NA,3.16,NA,NA,NA,0,0,NA,0,0
1971,"Algeria",NA,NA,9.54,0.02,NA,NA,NA,0,0,NA,0.33,0.07,1.15,0.11,1.03,2.67,0.26,2.4,0,0,2.29,49.01,37.1,809.14,NA,NA,3.42,NA,NA,NA,0,0,NA,0,0
1972,"Algeria",NA,NA,10.61,0.02,NA,NA,NA,0,0,NA,0.5,0.11,1.33,0.13,1.2,3.38,0.33,3.04,0,0,2.51,53.68,50.1,1089.11,NA,NA,3.85,NA,NA,NA,0,0,NA,0,0
1973,"Algeria",NA,NA,12.42,0.02,NA,NA,NA,0,0,NA,0.76,0.17,1.86,0.18,1.67,4.49,0.43,4.04,0,0,2.74,58.99,50.89,1111.11,NA,NA,4.6,NA,NA,NA,0,0,NA,0,0
1974,"Algeria",NA,NA,13.93,0.02,NA,NA,NA,0,0,NA,0.5,0.11,2.15,0.21,1.93,5.19,0.5,4.67,0,0,3.04,65.78,47.35,1035.56,NA,NA,5.1,NA,NA,NA,0,0,NA,0,0
1975,"Algeria",NA,NA,16.72,0.02,NA,NA,NA,0,0,NA,0.33,0.07,2.96,0.29,2.66,6.39,0.62,5.75,0,0,3.38,73.04,45.75,1002.66,NA,NA,6.14,NA,NA,NA,0,0,NA,0,0
1976,"Algeria",NA,NA,19.48,0.05,NA,NA,NA,0,0,NA,0.38,0.09,3.5,0.34,3.15,8.05,0.78,7.25,0,0,3.88,84.85,50.6,1109.11,NA,NA,7.16,NA,NA,NA,0,0,NA,0,0
1977,"Algeria",NA,NA,21.63,0.06,NA,NA,NA,0,0,NA,0.27,0.06,3.73,0.36,3.36,7.71,0.75,6.93,0,0,4.4,95.39,54.05,1187.76,NA,NA,7.88,NA,NA,NA,0,0,NA,0,0
1978,"Algeria",NA,NA,26.66,0.03,NA,NA,NA,0,0,NA,0.26,0.06,5.99,0.58,5.39,11.95,1.16,10.76,0,0,4.52,99.58,57.74,1270.17,NA,NA,10,NA,NA,NA,0,0,NA,0,0
1979,"Algeria",NA,NA,34.82,0.07,NA,NA,NA,0,0,NA,0.29,0.07,8.47,0.82,7.62,19.59,1.9,17.63,0,0,5.42,119.07,57.55,1271.21,NA,NA,13.18,NA,NA,NA,0,0,NA,0,0
1980,"Algeria",NA,NA,41.04,0.06,NA,NA,NA,0,0,NA,0.26,0.06,11.37,1.1,10.23,14.17,1.37,12.76,0,0,5.47,120.73,51.75,1138.68,NA,NA,15.82,3.72,8.2,NA,0,0,NA,0,0
1981,"Algeria",NA,NA,49.98,0.17,NA,NA,NA,0,0,NA,0.36,0.08,14.78,1.43,13.3,16.88,1.63,15.19,0,0,5.89,130.65,46.83,1048.93,NA,NA,19.44,3.68,8.08,NA,0,0,NA,0,0
1982,"Algeria",NA,NA,58.01,0.86,NA,NA,NA,0,0,NA,0.48,0.11,16.77,1.62,15.09,21.94,2.12,19.74,0,0,6.25,138.23,46.85,1064.81,NA,NA,22.3,3.61,9.44,NA,0,0,NA,0,0
1983,"Algeria",NA,NA,63.22,0.73,NA,NA,NA,0,0,NA,0.23,0.05,18.36,1.78,16.52,31.62,3.06,28.45,0,0,7.01,155.78,45.87,1046.79,NA,NA,24.32,3.53,9.22,NA,0,0,NA,0,0
1984,"Algeria",NA,NA,60.9,0.75,NA,NA,NA,0,0,NA,0.46,0.1,16.13,1.56,14.52,31.46,3.04,28.32,0,0,7.76,172.47,49.47,1137.37,NA,NA,23.13,3.44,9,NA,0,0,NA,0,0
1985,"Algeria",NA,NA,61.21,0.75,NA,NA,12.27,0,0,NA,0.65,0.15,15.98,1.55,14.38,34.27,3.32,30.84,0,0,7.97,177.06,50,1150.9,NA,NA,23.25,3.35,8.82,NA,0,0,NA,0,0
1986,"Algeria",NA,NA,65.42,0.92,NA,NA,12.98,0,0,NA,0.26,0.06,17.5,1.69,15.75,36.48,3.53,32.83,0,0,8.08,180.72,51.8,1198.15,NA,NA,24.8,3.26,8.8,NA,0,0,NA,0,0
1987,"Algeria",NA,NA,66.81,0.99,NA,NA,13.94,0,0,NA,0.5,0.11,17.9,1.73,16.11,41.17,3.98,37.05,0,0,8.16,183.45,52.64,1231.25,NA,NA,25.37,3.16,8.56,NA,0,0,NA,0,0
1988,"Algeria",NA,NA,71.67,1,NA,NA,14.98,0,0,NA,0.19,0.04,20.17,1.95,18.15,43.04,4.15,38.73,0,0,8.17,182.57,53.57,1254.48,NA,NA,27.36,3.23,9.2,NA,0,0,NA,0,0
1989,"Algeria",NA,NA,69.95,0.9,NA,NA,15.14,0,0,NA,0.27,0.06,18.98,1.84,17.08,46.4,4.49,41.76,0,0,8.55,192.84,54.66,1280.12,NA,NA,26.6,3.25,9.24,NA,0,0,NA,0,0
1990,"Algeria",NA,NA,73.43,0.63,NA,NA,16.1,0,0,NA,0.14,0.03,20.27,1.96,18.24,49.27,4.77,44.34,0,0,9.16,213.14,57.48,1347.49,NA,NA,28.06,3.3,9.2,NA,0,0,NA,0,0
1991,"Algeria",NA,NA,72.97,0.71,NA,NA,17.34,0,0,NA,0.29,0.07,20.02,1.94,18.02,53.2,5.15,47.88,0,0,9.07,208.42,57.68,1350.61,NA,NA,27.86,3.63,9.2,NA,0,0,NA,0,0
1992,"Algeria",NA,NA,74.05,0.6,NA,NA,18.29,0,0,NA,0.2,0.04,20.67,1.99,18.6,55.34,5.34,49.81,0,0,9.11,210.57,56.63,1323.36,NA,NA,28.36,3.65,9.2,NA,0,0,NA,0,0
1993,"Algeria",NA,NA,69.46,0.6,NA,NA,19.41,0,0,NA,0.35,0.08,18.55,1.79,16.7,56.1,5.43,50.49,0,0,9.08,209.33,56.67,1329.12,NA,NA,26.45,3.7,9.2,NA,0,0,NA,0,0
1994,"Algeria",NA,NA,70.29,0.59,NA,NA,19.88,0,0,NA,0.17,0.04,19.55,1.89,17.59,51.62,4.99,46.46,0,0,8.67,202.85,56.38,1323.81,NA,NA,26.9,2.96,9.98,NA,0,0,NA,0,0
1995,"Algeria",NA,NA,72.56,0.57,NA,NA,19.71,0,0,NA,0.19,0.04,21.01,2.03,18.91,58.7,5.68,52.83,0,0,8.43,197.17,56.6,1326.61,NA,NA,27.96,3.69,9.98,NA,0,0,NA,0,0
1996,"Algeria",NA,NA,72.27,0.48,NA,NA,20.65,0,0,NA,0.14,0.03,21.58,2.08,19.42,62.34,6.02,56.11,0,0,8.06,186.17,59.34,1385.83,NA,NA,28,3.7,10.8,NA,0,0,NA,0,0
1997,"Algeria",NA,NA,68.44,0.33,NA,NA,21.15,0,0,NA,0.08,0.02,20.16,1.95,18.14,71.81,6.95,64.63,0,0,7.99,186.43,60.33,1420.52,NA,NA,26.48,4.08,11.2,NA,0,0,NA,0,0
1998,"Algeria",NA,NA,71.29,0.5,NA,NA,23.61,0,0,NA,0.22,0.05,20.85,2.02,18.77,76.59,7.41,68.93,0,0,8.22,193.07,61.78,1460.56,NA,NA,27.54,4.08,11.31,NA,0,0,NA,0,0
1999,"Algeria",NA,NA,72.04,0.53,NA,NA,24.76,0,0,NA,0.2,0.05,21.31,2.06,19.18,86.01,8.32,77.41,0,0,8.11,186.14,63.93,1515.44,NA,NA,27.86,4.52,11.31,NA,0,0,NA,0,0
2000,"Algeria",NA,NA,69.82,0.46,NA,NA,25.01,0,0,NA,0.05,0.01,19.85,1.91,17.86,84.41,8.14,75.97,0,0,8.48,191.17,66.79,1549.13,NA,NA,26.82,4.52,11.31,NA,0,0,NA,0,0
2001,"Algeria",NA,NA,72.27,0.5,NA,NA,26.26,0,0,NA,0.07,0.02,20.5,1.98,18.45,78.24,7.57,70.42,0,0,8.78,198.31,65.75,1534.25,NA,NA,27.75,4.52,11.31,NA,0,0,NA,0,0
2002,"Algeria",NA,NA,75.03,0.6,NA,NA,27.4,0,0,NA,0.06,0.01,20.24,1.96,18.22,80.37,7.78,72.33,0,0,9.73,220.77,70.89,1653.01,NA,NA,28.56,4.52,11.31,NA,0,0,NA,0,0
2003,"Algeria",NA,NA,78.67,0.6,NA,NA,29.19,0,0,NA,0.27,0.06,21.4,2.07,19.26,82.83,8.01,74.55,0,0,10.12,229.69,79,1826.28,NA,NA,30.04,4.55,11.8,NA,0,0,NA,0,0
2004,"Algeria",NA,NA,81.44,0.61,NA,NA,30.93,0,0,NA,0.25,0.06,22.02,2.12,19.81,82.01,7.91,73.81,0,0,10.59,239.01,83.55,1920.66,NA,NA,31.07,4.55,11.8,NA,0,0,NA,0,0
2005,"Algeria",NA,NA,85.15,0.55,NA,NA,33.61,0,0,NA,0.56,0.13,23.23,2.25,20.9,88.22,8.54,79.4,0,0,11.03,249.98,86.44,1989.93,NA,NA,32.62,4.5,12.27,NA,0,0,NA,0,0
2006,"Algeria",NA,NA,87.83,0.58,NA,NA,35.01,0,0,NA,0.22,0.05,23.74,2.3,21.37,84.47,8.17,76.02,0,0,11.52,258.3,86.2,1979.5,NA,NA,33.51,4.5,12.27,NA,0,0,NA,0,0
2007,"Algeria",NA,NA,93.23,0.58,NA,NA,36.95,0,0,NA,0.23,0.05,24.29,2.35,21.86,84.83,8.21,76.34,0,0,12.9,285.98,86.48,1992.27,NA,NA,35.39,4.5,12.2,NA,0,0,NA,0,0
2008,"Algeria",NA,NA,98.92,0.58,NA,NA,39.99,0,0,NA,0.28,0.06,25.36,2.45,22.82,85.82,8.28,77.24,0,0,14.02,308.66,85.62,1969.34,NA,NA,37.48,4.5,12.2,NA,0,0,NA,0,0
2009,"Algeria",NA,NA,103.96,0.19,NA,NA,42.77,0,0,NA,0.34,0.08,27.23,2.63,24.51,79.55,7.7,71.59,0,0,14.87,326.53,77.23,1774.86,NA,NA,39.65,4.5,12.2,NA,0,0,NA,0,0
2010,"Algeria",NA,NA,101.15,0,NA,NA,45.62,0,0,NA,0.17,0.04,26.31,2.55,23.68,80.41,7.78,72.37,0,0,14.84,326.95,73.78,1689.15,NA,NA,38.56,4.5,12.2,NA,0,0,NA,0,0
2011,"Algeria",NA,NA,106.57,0,NA,NA,52.02,0,0,NA,0.38,0.09,27.84,2.69,25.06,82.7,8,74.43,0,0,15.55,344.62,71.67,1641.5,NA,NA,40.72,4.5,12.2,NA,0.12,0.03,NA,0,0
2012,"Algeria",NA,NA,116.82,0,NA,NA,57.46,0,0,NA,0.39,0.09,31.04,2.99,27.93,81.5,7.86,73.35,0,0,16.69,367.57,67.21,1536.81,NA,NA,44.76,4.5,12.2,NA,0.23,0.05,NA,0,0
2013,"Algeria",NA,NA,121.91,0,NA,NA,58.95,0,0,NA,0.1,0.02,32.3,3.12,29.07,78.6,7.6,70.74,0,0,17.48,385.82,68.86,1574.82,NA,NA,46.62,4.5,12.2,NA,0.23,0.05,NA,0,0
1965,"Angola",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.66,13.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1966,"Angola",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.63,12.81,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1967,"Angola",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.54,10.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1968,"Angola",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.75,15.18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1969,"Angola",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.46,49.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1970,"Angola",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.07,102.83,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1971,"Angola",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.72,116.14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1972,"Angola",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.06,142.88,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1973,"Angola",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.18,165.96,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1974,"Angola",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.54,173.39,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1975,"Angola",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.79,158.17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1976,"Angola",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.56,153.14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1977,"Angola",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.06,143.37,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1978,"Angola",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.47,131.33,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1979,"Angola",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.2,146.17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1980,"Angola",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.43,150.39,NA,NA,NA,NA,1.38,NA,NA,NA,NA,NA,NA
1981,"Angola",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.16,145.32,NA,NA,NA,NA,1.11,NA,NA,NA,NA,NA,NA
1982,"Angola",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.41,130.13,NA,NA,NA,NA,1.46,NA,NA,NA,NA,NA,NA
1983,"Angola",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.79,178.45,NA,NA,NA,NA,1.72,NA,NA,NA,NA,NA,NA
1984,"Angola",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.07,203.96,NA,NA,NA,NA,2.15,NA,NA,NA,NA,NA,NA
1985,"Angola",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11.45,232.49,NA,NA,NA,NA,2.02,NA,NA,NA,NA,NA,NA
1986,"Angola",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13.93,282.72,NA,NA,NA,NA,1.4,NA,NA,NA,NA,NA,NA
1987,"Angola",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17.51,355.4,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA
1988,"Angola",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22.32,451.89,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA
1989,"Angola",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22.64,459.66,NA,NA,NA,NA,2.07,NA,NA,NA,NA,NA,NA
1990,"Angola",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23.38,474.65,NA,NA,NA,NA,1.62,NA,NA,NA,NA,NA,NA
1991,"Angola",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24.51,497.67,NA,NA,NA,NA,1.45,NA,NA,NA,NA,NA,NA
1992,"Angola",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27.15,549.74,NA,NA,NA,NA,1.33,NA,NA,NA,NA,NA,NA
1993,"Angola",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24.81,503.68,NA,NA,NA,NA,1.9,NA,NA,NA,NA,NA,NA
1994,"Angola",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27.42,556.74,NA,NA,NA,NA,2.96,NA,NA,NA,NA,NA,NA
1995,"Angola",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31.17,632.85,NA,NA,NA,NA,3.13,NA,NA,NA,NA,NA,NA
1996,"Angola",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,35.36,715.98,NA,NA,NA,NA,3.69,NA,NA,NA,NA,NA,NA
1997,"Angola",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,36.5,741,NA,NA,NA,NA,3.9,NA,NA,NA,NA,NA,NA
1998,"Angola",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,36,730.85,NA,NA,NA,NA,4.03,NA,NA,NA,NA,NA,NA
1999,"Angola",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,36.7,745.06,NA,NA,NA,NA,5.05,NA,NA,NA,NA,NA,NA
2000,"Angola",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,36.85,746.06,NA,NA,NA,NA,5.97,NA,NA,NA,NA,NA,NA
2001,"Angola",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,36.55,742.02,NA,NA,NA,NA,6.5,NA,NA,NA,NA,NA,NA
2002,"Angola",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,44.6,905.44,NA,NA,NA,NA,8.9,NA,NA,NA,NA,NA,NA
2003,"Angola",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,42.83,869.56,NA,NA,NA,NA,8.8,NA,NA,NA,NA,NA,NA
2004,"Angola",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,54.46,1102.68,NA,NA,NA,NA,9.03,NA,NA,NA,NA,NA,NA
2005,"Angola",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,68.86,1404.33,NA,NA,NA,NA,9.03,NA,NA,NA,NA,NA,NA
2006,"Angola",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,69.29,1420.84,NA,NA,NA,NA,9.03,NA,NA,NA,NA,NA,NA
2007,"Angola",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,82.07,1684.29,NA,NA,NA,NA,9.03,NA,NA,NA,NA,NA,NA
2008,"Angola",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,93.07,1900.91,NA,NA,NA,NA,9.04,NA,NA,NA,NA,NA,NA
2009,"Angola",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,87.62,1803.99,NA,NA,NA,NA,9.5,NA,NA,NA,NA,NA,NA
2010,"Angola",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,90.53,1863.08,NA,NA,NA,NA,9.5,NA,NA,NA,NA,NA,NA
2011,"Angola",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,83.8,1726.44,NA,NA,NA,NA,9.06,NA,NA,NA,NA,NA,NA
2012,"Angola",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,86.88,1784.21,NA,NA,NA,NA,12.67,NA,NA,NA,NA,NA,NA
2013,"Angola",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,87.36,1801,NA,NA,NA,NA,12.67,NA,NA,NA,NA,NA,NA
1965,"Argentina",NA,NA,80.26,0.88,NA,NA,NA,0,0,NA,1.21,0.27,4.24,0.41,3.82,NA,NA,NA,0,0,22.1,433.21,13.76,275.67,402.32,NA,27.07,NA,NA,NA,0,0,NA,0,0
1966,"Argentina",NA,NA,83.19,0.89,NA,NA,NA,0,0,NA,1.23,0.28,4.59,0.44,4.13,NA,NA,NA,0,0,22.79,447.82,14.64,292.86,414.2,NA,28.09,NA,NA,NA,0,0,NA,0,0
1967,"Argentina",NA,NA,85.32,0.91,NA,NA,NA,0,0,NA,1.26,0.28,4.8,0.46,4.32,NA,NA,NA,0,0,23.32,460.18,15.96,318.63,412.3,NA,28.83,NA,NA,NA,0,0,NA,0,0
1968,"Argentina",NA,NA,88.01,0.93,NA,NA,NA,0,0,NA,1.48,0.34,5.35,0.52,4.81,NA,NA,NA,0,0,23.79,468.92,17.49,348.16,423.7,NA,29.87,NA,NA,NA,0,0,NA,0,0
1969,"Argentina",NA,NA,90.76,0.95,NA,NA,NA,0,0,NA,1.33,0.3,5.33,0.52,4.79,NA,NA,NA,0,0,24.68,491.42,18.11,361.53,434.15,NA,30.72,NA,NA,NA,0,0,NA,0,0
1970,"Argentina",NA,NA,84.32,0.97,NA,NA,NA,0,0,NA,1.52,0.34,6.02,0.58,5.42,6.02,0.58,5.42,0,0,22.08,447.12,20,399.46,437.69,NA,28.81,NA,NA,NA,0,0,NA,0,0
1971,"Argentina",NA,NA,89.72,0.94,NA,NA,NA,0.06,0.01,NA,1.52,0.34,6.5,0.63,5.85,6.51,0.63,5.86,0,0,23.55,478.6,21.57,431.54,603.92,NA,30.69,NA,NA,NA,0,0,NA,0,0
1972,"Argentina",NA,NA,91.34,0.89,NA,NA,NA,0.07,0.02,NA,1.48,0.34,7.29,0.7,6.56,6.18,0.6,5.57,0,0,23.59,478.29,22.22,444.12,602,NA,31.4,NA,NA,NA,0,0,NA,0,0
1973,"Argentina",NA,NA,93.56,0.9,NA,NA,NA,0.06,0.01,NA,2.96,0.67,8.3,0.8,7.47,6.73,0.65,6.06,0,0,23.6,481.21,21.6,433.64,624,NA,32.66,NA,NA,NA,0,0,NA,0,0
1974,"Argentina",NA,NA,95.76,1.06,NA,NA,NA,0.06,0.01,NA,4.97,1.12,8.78,0.85,7.91,7.25,0.7,6.52,1.03,0.23,23.78,481.42,21.14,423.39,721,NA,34.12,NA,NA,NA,0,0,NA,0,0
1975,"Argentina",NA,NA,91.96,1.12,NA,NA,NA,0.06,0.01,NA,5.14,1.16,9,0.87,8.1,7.69,0.74,6.92,2.29,0.52,22.32,455.18,20.26,406.09,684,NA,33.23,NA,NA,NA,0,0,NA,0,0
1976,"Argentina",NA,NA,96.92,1.06,NA,NA,NA,0.06,0.01,NA,4.94,1.12,10.13,0.98,9.12,7.33,0.71,6.6,2.35,0.53,23.23,470.79,20.41,408.02,703,NA,35.07,NA,NA,NA,0,0,NA,0,0
1977,"Argentina",NA,NA,101.23,1,NA,NA,NA,0.06,0.01,NA,5.71,1.29,10.58,1.02,9.52,7.57,0.73,6.81,1.62,0.37,24.41,494.77,22.06,441.72,655,NA,36.6,NA,NA,NA,0,0,NA,0,0
1978,"Argentina",NA,NA,100.88,1.1,NA,NA,NA,0.06,0.01,NA,7.66,1.73,10.29,1,9.26,7.81,0.76,7.03,2.86,0.65,24.36,495.63,23.21,466.2,686,NA,37.12,NA,NA,NA,0,0,NA,0,0
